key,text,english,notes
version,0.2,0.2,
pdf_title,The Promised Seed,The Promised Seed,2025-11-30
pdf_subject,Lineage of Jesus,Lineage of Jesus,
Adam,Adam,Adam,Luke 3:38
Seth,Seth,Seth,
Enosh,Enosh,Enosh,
Cainan,Cainan,Cainan,
Kenan,Kenan,Kenan,"Genesis 5:12, Cainan in Luke 3:37"
Mahalaleel,Ma·haʹla·le·el ,Ma·haʹla·le·el ,Ma·hala·lel
Jared,Jared,Jared,
Enoch,Enoch,Enoch,
Methuselah,Methuselah,Methuselah,Luke 3:37
Lamech,Lamech,Lamech,
Noah,Noah,Noah,
Shem,Shem,Shem,
Arpachshad,Arpachshad,Arpachshad,Luke 3:36
Shelah,Shelah,Shelah,
Eber,Eber,Eber,
Peleg,Peleg,Peleg,
Reu,Reu,Reu,
Serug,Serug,Serug,Luke 3:35
Nahor,Nahor,Nahor,Genesis 11:24
Terah,Terah,Terah,
Abraham,Abraham,Abraham,
Isaac,Isaac,Isaac,
Jacob,Jacob,Jacob,Luke 3:34
Judah,Judah,Judah,Leah
Levi,Levi,Levi,Leah
Reuben,Reuben,Reuben,Leah
Simeon,Simeon,Simeon,Leah
Issachar,Issachar,Issachar,Leah
Zebulun,Zebulun,Zebulun,Leah
Joseph,Joseph,Joseph,Rahel
Benjamin,Benjamin,Benjamin,Rahel
Asher,Asher,Asher,Zilpah
Gad,Gad,Gad,Zilpah
Naphtali,Naphtali,Naphtali,Bilhah
Dan,Dan,Dan,Bilhah
Perez,Perez,Perez,from Tamar and Judah
Hezron,Hezron,Hezron,
Ram_Arni,Ram (Arni),Ram (Arni),"Matthew Ram, Luke Arni"
Amminadab,Amminadab,Amminadab,
Nahshon,Nahshon,Nahshon,
Salma_Salmon,Salma (Salmon),Salma (Salmon),with Rahab (Matthew)
Boaz,Boaz,Boaz,with Ruth (Matthew)
Obed,Obed,Obed,
Jesse,Jesse,Jesse,
David,David,David,with Bathsheba
Nathan,Nathan,Nathan,natural through Mary (Luke)
Mattatha,Mattatha,Mattatha,
Menna,Menna,Menna,
Melea,Melea,Melea,
Elakim,Elakim,Elakim,
Jonam,Jonam,Jonam,
Joseph,Joseph,Joseph,
Judas,Judas,Judas,
Symeon,Symeon,Symeon,
Levi,Levi,Levi,
Matthat,Matthat,Matthat,
Jorim,Jorim,Jorim,
Eliezer,Eliezer,Eliezer,
Jesus,Jesus,Jesus,
Er,Er,Er,
Elmadam,Elmadam,Elmadam,
Cosam,Cosam,Cosam,
Addi,Addi,Addi,
Melchi,Melchi,Melchi,
Neri,Neri,Neri,
Shealtiel,Shealtiel,Shealtiel,
Zerubbabel,Zerubbabel,Zerubbabel,overlap two lineages
Rhesa,Rhesa,Rhesa,
Joanan,Joanan,Joanan,
Joda,Joda,Joda,
Josech,Josech,Josech,
Semein,Semein,Semein,
Mattathias,Mattathias,Mattathias,
Maath,Maath,Maath,
Naggai,Naggai,Naggai,
Esli,Esli,Esli,
Nahum,Nahum,Nahum,
Amos,Amos,Amos,
Mattathias,Mattathias,Mattathias,
Joseph,Joseph,Joseph,
Jannai,Jannai,Jannai,
Melchi,Melchi,Melchi,
Levi,Levi,Levi,
Matthat,Matthat,Matthat,
Heli,Heli,Heli,
Joseph,Joseph,Joseph,son of Rachel
Joseph2,Joseph,Joseph,son of Jonam
Joseph3,Joseph,Joseph,son of Mattathias
Joseph4,Joseph,Joseph,"son of Jacob, stepfather of Jesus"
Jesus,Jesus,Jesus,
Jesus2,Jesus,Jesus,
Mary,Mary,Mary,Luke states Joseph here
Solomon,Solomon,Solomon,legal line w/ Joseph (Matthew)
Rehoboam,Rehoboam,Rehoboam,
Abijah,Abijah,Abijah,
Asa,Asa,Asa,Matt 1:8
Jehoshaphat,Jehoshaphat,Jehoshaphat,
Jehoram,Jehoram,Jehoram,
Ahaziah,Ahaziah,Ahaziah,missing in Matthew
Jehoash,Jehoash,Jehoash,missing in Matthew
Amaziah,Amaziah,Amaziah,missing in Matthew
Uzziah_Azariah,Uzziah (Azariah),Uzziah (Azariah),Matt 1:9
Jotham,Jotham,Jotham,
Ahaz,Ahaz,Ahaz,
Hezekiah,Hezekiah,Hezekiah,
Manasseh,Manasseh,Manasseh,son of Joseph
Manasseh2,Manasseh,Manasseh,son of Hezekiah
Amon,Amon,Amon,
Josiah,Josiah,Josiah,
Eliakim_Jehoiakim,Eliakim (Jehoiakim),Eliakim (Jehoiakim),
Jeconiah_Jehoiachin,Jeconiah (Jehoiachin),Jeconiah (Jehoiachin),
Shealtiel,Shealtiel,Shealtiel,
Pedaiah,Pedaiah,Pedaiah,"missing in Matthew, Z in 55"
Abiud,Abiud,Abiud,after Zerubbabel (Sheshbazzar)
Eliakim,Eliakim,Eliakim,
Azor,Azor,Azor,
Zadok,Zadok,Zadok,
Achim,Achim,Achim,
Eliud,Eliud,Eliud,
Eleazar,Eleazar,Eleazar,
Matthan,Matthan,Matthan,
Jacob,Jacob,Jacob,
Joseph,Joseph,Joseph,
Eve,Eve,Eve,
Sarah,Sarah,Sarah,
Rebekah,Rebekah,Rebekah,
Leah,Leah,Leah,
Rahel,Rahel,Rahel,
Zilpah,Zilpah,Zilpah,
Bilhah,Bilhah,Bilhah,
Bathsheba,Bathsheba,Bathsheba,
Dinah,Dinah,Dinah,
Abel,Abel,Abel,
Cain,Cain,Cain,
Asenath,Asenath,Asenath,
Manasseh,Manasseh,Manasseh,
Ephraim,Ephraim,Ephraim,
Hephzinah,Hephzinah,Hephzinah,2 Kings 21:1
